"subject" "activity" "timeBodyAccelerometer-MEAN-X" "timeBodyAccelerometer-MEAN-Y" "timeBodyAccelerometer-MEAN-Z" "timeGravityAccelerometer-MEAN-X" "timeGravityAccelerometer-MEAN-Y" "timeGravityAccelerometer-MEAN-Z" "timeBodyAccelerometerJerk-MEAN-X" "timeBodyAccelerometerJerk-MEAN-Y" "timeBodyAccelerometerJerk-MEAN-Z" "timeBodyGyroscope-MEAN-X" "timeBodyGyroscope-MEAN-Y" "timeBodyGyroscope-MEAN-Z" "timeBodyGyroscopeJerk-MEAN-X" "timeBodyGyroscopeJerk-MEAN-Y" "timeBodyGyroscopeJerk-MEAN-Z" "timeBodyAccelerometerMagnitude-MEAN" "timeGravityAccelerometerMagnitude-MEAN" "timeBodyAccelerometerJerkMagnitude-MEAN" "timeBodyGyroscopeMagnitude-MEAN" "timeBodyGyroscopeJerkMagnitude-MEAN" "frequencyBodyAccelerometer-MEAN-X" "frequencyBodyAccelerometer-MEAN-Y" "frequencyBodyAccelerometer-MEAN-Z" "frequencyBodyAccelerometerJerk-MEAN-X" "frequencyBodyAccelerometerJerk-MEAN-Y" "frequencyBodyAccelerometerJerk-MEAN-Z" "frequencyBodyGyroscope-MEAN-X" "frequencyBodyGyroscope-MEAN-Y" "frequencyBodyGyroscope-MEAN-Z" "frequencyBodyAccelerometerMagnitude-MEAN" "frequencyBodyAccelerometerJerkMagnitude-MEAN" "frequencyBodyGyroscopeMagnitude-MEAN" "frequencyBodyGyroscopeJerkMagnitude-MEAN"
1 "WALKING" 0.277330758736842 -0.0173838185273684 -0.111148103547368 0.935223201473684 -0.282165021263158 -0.068102864 0.0740416333157895 0.0282721095884211 -0.00416840617789474 -0.041830963526 -0.0695300462115789 0.0849448173042105 -0.0899975423705263 -0.0398428709463158 -0.0461309295021053 -0.136971176556842 -0.136971176556842 -0.141428809031579 -0.160979552536842 -0.298703679084211 -0.202794306326316 0.0897127264021053 -0.331560117789474 -0.170546964549579 -0.0352255241130632 -0.468999224631579 -0.339032197115789 -0.103059416434737 -0.255940940315789 -0.128623450629474 -0.0571194000343158 -0.199252568986316 -0.319308593778947
1 "WALKING_UPSTAIRS" 0.255461689622641 -0.0239531492643396 -0.0973020020943396 0.89335109754717 -0.362153364339623 -0.075402939754717 0.101372729922642 0.0194863076188679 -0.0455625449113208 0.050549379754717 -0.166170015088679 0.0583595463981132 -0.122232768011321 -0.0421485884509434 -0.0407125527654717 -0.129927630735849 -0.129927630735849 -0.466503446226415 -0.126735589969811 -0.59488286509434 -0.404321784150943 -0.190976720811321 -0.433349702075472 -0.479875245660377 -0.41344458754717 -0.685474353962264 -0.492611667924528 -0.319474609056604 -0.453597213018868 -0.352395944716981 -0.44265216245283 -0.325961457396226 -0.634665082075472
1 "WALKING_DOWNSTAIRS" 0.289188320408163 -0.00991850461020408 -0.107566190908163 0.931874418979592 -0.266610338979592 -0.0621199585938775 0.0541553164897959 0.0296504490408163 -0.0109719730183673 -0.0350781902989796 -0.0909371290204082 0.0900850142030612 -0.0739592036271429 -0.0439902783367347 -0.0270461061061224 0.0271882914106122 0.0271882914106122 -0.0894474807979592 -0.0757412543673469 -0.295463843346939 0.0382291831510204 0.00154990783591837 -0.225574471693878 -0.0276638676122449 -0.12866715764898 -0.288334735714286 -0.352449631363265 -0.0557022524693878 -0.0318694271979592 0.0965845343040816 0.0262184949326531 -0.185720285744898 -0.281963359177551
1 "SITTING" 0.261237565425532 -0.00130828765170213 -0.104544182255319 0.831509933404255 0.204411592680851 0.332043702765957 0.0774825199574468 -0.000619102785106384 -0.00336779235021277 -0.045350056512766 -0.0919241549361702 0.0629313811914894 -0.0936793807234043 -0.0402118124255319 -0.046702627 -0.948536786170213 -0.948536786170213 -0.987364195531915 -0.93089249 -0.991976341276596 -0.979641238723404 -0.944084550425532 -0.959184889148936 -0.986597022553191 -0.981579467021277 -0.986053092340425 -0.976161464042553 -0.975838585319149 -0.951315544468085 -0.947782922553192 -0.985262126808511 -0.958435589361702 -0.989797547234043
1 "STANDING" 0.278917629056604 -0.0161375901037736 -0.110601817735849 0.942952000377358 -0.272983832264151 0.0134905823226415 0.0753766542264151 0.00797573092830189 -0.00368524954709434 -0.0239877347979245 -0.0593972209811321 0.074800751 -0.0996092129056604 -0.0440627877924528 -0.0489505466716981 -0.984278207358491 -0.984278207358491 -0.992367790566038 -0.976493792830189 -0.994966790566038 -0.995249932641509 -0.977070847735849 -0.985297098679245 -0.994630797358491 -0.985418704528302 -0.990752166037736 -0.986386786037736 -0.988984455849057 -0.980773122830189 -0.985356361132075 -0.99254247754717 -0.984617623396226 -0.994815376981132
1 "LAYING" 0.22159824394 -0.0405139534294 -0.11320355358 -0.24888179828 0.70554977346 0.4458177198 0.0810865342 0.0038382040088 0.010834236361 -0.016553093978 -0.064486124088 0.14868943626 -0.107270949192 -0.04151728689 -0.0740501211 -0.8419291525 -0.8419291525 -0.9543962646 -0.874759548 -0.96346103 -0.9390990524 -0.86706520518 -0.8826668762 -0.9570738838 -0.9224626098 -0.9480609042 -0.850249174586 -0.9521914948 -0.909302721 -0.8617676481 -0.9333003608 -0.8621901854 -0.9423669466
2 "WALKING" 0.276426586440678 -0.0185949199145763 -0.105500357966102 0.91301733338983 -0.34660709 0.0847270871186441 0.0618080696279661 0.0182492679288136 0.00789533706610169 -0.0530258157347458 -0.0482382316949153 0.0828336633220339 -0.0818833429152542 -0.0538299449067797 -0.0514939156830508 -0.290407593728814 -0.290407593728814 -0.281424153881356 -0.446549092881356 -0.547911950338983 -0.346048161016949 -0.0219048103322034 -0.453806369830508 -0.304615322881356 -0.0787640836610169 -0.554956709661017 -0.429713536101695 -0.55477211220339 -0.396659907457627 -0.324289427932203 -0.169064352813559 -0.530704814745763 -0.583249293389831
2 "WALKING_UPSTAIRS" 0.247164790395833 -0.0214121132045833 -0.152513899520833 0.790717418541667 -0.416214890416667 -0.195888238891667 0.0744507839572917 -0.00970985514333333 0.01948143925 -0.0576912634583333 -0.0320883097395833 0.0688374021666667 -0.0828858001333333 -0.0424053708458333 -0.0445157481625 -0.107322679520833 -0.107322679520833 -0.321268911041667 -0.219713472958333 -0.572816438541667 -0.266720933270833 0.00992445881854167 -0.281001986202083 -0.258639439729167 -0.1878421317125 -0.522728063333333 -0.331643577458333 -0.488086123958333 -0.248601122 -0.14531853915625 -0.189511136902083 -0.450612184791667 -0.60079849625
2 "WALKING_DOWNSTAIRS" 0.27761534806383 -0.0226614158361702 -0.116812942382979 0.861831345531915 -0.325780100638298 -0.0438890162723404 0.110040615569574 -0.00327959081489362 -0.0209351677765957 -0.11594735287234 -0.00482329231914894 0.097173808906383 -0.0581038498510638 -0.0421470257531915 -0.0710229816893617 0.0899511204978723 0.0899511204978723 0.00565516335106383 -0.162188586930426 -0.410872671489362 0.112841160325532 0.278345041765957 -0.131290772 0.138120681087234 0.0962091607617021 -0.271498721106383 -0.145775970406383 -0.361913824 -0.0874944736085106 0.293424826591489 0.222247409576596 -0.320838543553191 -0.380175306489362
2 "SITTING" 0.27708735173913 -0.0156879937282609 -0.109218272456522 0.940477273043478 -0.105630024498783 0.19872676876087 0.0722564387173913 0.0116954511323913 0.00760546929869565 -0.0454706620434783 -0.0599286797043478 0.0412277462173913 -0.0936328412826087 -0.0415602029130435 -0.04358509665 -0.967893623913043 -0.967893623913043 -0.986774713043478 -0.946035087173913 -0.991081493913043 -0.985803840652174 -0.957343498478261 -0.970162172608696 -0.987848793695652 -0.977139702826087 -0.985129050217391 -0.982621389565217 -0.982100923695652 -0.959814822391304 -0.96127374826087 -0.983874698913043 -0.971840596086956 -0.989861950869565
2 "STANDING" 0.277911472222222 -0.0184208270166667 -0.105908536055556 0.896928566851852 -0.370062696851852 0.129747161222222 0.0747588597592593 0.0103291774794444 -0.00837158846722222 -0.0238623875712963 -0.0820396577592593 0.0878351695481481 -0.105562157888889 -0.042241953537037 -0.0546539479425926 -0.965875181296296 -0.965875181296296 -0.980489077407407 -0.963466341851852 -0.983951904259259 -0.983946739814815 -0.959871697407407 -0.962471195740741 -0.980973241666667 -0.970851337962963 -0.979775152037037 -0.967037112037037 -0.972576152962963 -0.960627696111111 -0.964052166481482 -0.977065295555556 -0.961775904814815 -0.977849827407407
2 "LAYING" 0.281373403958333 -0.0181587397583333 -0.107245610416667 -0.509754238125 0.752536639375 0.646834879583333 0.0825972511666667 0.012254788451875 -0.00180264895625 -0.01847660675 -0.111800824583333 0.144882846104167 -0.101974134208333 -0.0358590176083333 -0.0701783020833333 -0.977435485208333 -0.977435485208333 -0.987741696041667 -0.950011569583333 -0.991767074166667 -0.976725059791667 -0.979800877916667 -0.984380981875 -0.985813630833333 -0.982768250416667 -0.986197134583333 -0.9864311425 -0.983321635416667 -0.9626718875 -0.975110196458333 -0.985374114791667 -0.972112972708333 -0.990248702291667
3 "WALKING" 0.275567462068966 -0.0171767844203448 -0.112674859827586 0.936506743275862 -0.261986357931034 -0.138107866258621 0.0814745882660345 0.0100591485 -0.00562264594827586 -0.0256405192517241 -0.0779150937413793 0.0813485942827586 -0.0952398165017241 -0.0387874651724138 -0.0503616100815517 -0.254690333275862 -0.254690333275862 -0.280009317413793 -0.466411754137931 -0.566135217931034 -0.316614011689655 -0.0813024353275862 -0.412374074482759 -0.304694442551724 -0.140508590224138 -0.514137255344828 -0.437845763793103 -0.561526265344828 -0.418126217413793 -0.290031535172414 -0.186764516965517 -0.569755772241379 -0.607751646034483
3 "WALKING_UPSTAIRS" 0.260819873067797 -0.0324109410555932 -0.110064863437288 0.883533436101695 -0.382851153728814 -0.162943955254237 0.0426880986186441 0.0397249270484746 0.0208205538101695 0.0721980309322034 -0.139275405637288 0.0215603697 -0.115510569491525 -0.0400372510491525 -0.0498180874305085 -0.184014895 -0.184014895 -0.436901159491525 -0.347321812220339 -0.658861401355932 -0.392004211474576 -0.0788094156644068 -0.504494528474576 -0.478434306271186 -0.283772547471017 -0.677314534067797 -0.378216681762712 -0.637293508305085 -0.431503361525424 -0.315866079491525 -0.412920898474576 -0.514211583728814 -0.716877778644068
